State,2018 PVI,2022 PVI,
Alabama,R+14,R+15,-1
Alaska,R+9,R+8,1
Arizona,R+5,R+2,3
Arkansas,R+15,R+16,-1
California,D+12,D+13,1
Colorado,D+1,D+4,3
Connecticut,D+6,D+7,1
Delaware,D+6,D+7,1
Florida,R+2,R+3,-1
Georgia,R+5,R+3,2
Hawaii,D+18,D+14,-4
Idaho,R+19,R+18,1
Illinois,D+7,D+7,0
Indiana,R+9,R+11,-2
Iowa,R+3,R+6,-3
Kansas,R+13,R+10,3
Kentucky,R+15,R+16,-1
Louisiana,R+11,R+12,1
Maine,D+3,D+2,-1
Maryland,D+12,D+14,2
Massachusetts,D+12,D+15,3
Michigan,D+1,R+1,-2
Minnesota,D+1,D+1,0
Mississippi,R+9,R+11,-2
Missouri,R+9,R+10,-1
Montana,R+11,R+11,0
Nebraska,R+14,R+13,1
Nevada,D+1,R+1,2
New Hampshire,EVEN,D+1,1
New Jersey,D+7,D+6,-1
New Mexico,D+3,D+3,0
New York,D+11,D+10,-1
North Carolina,R+3,R+3,0
North Dakota,R+17,R+20,-3
Ohio,R+3,R+6,-3
Oklahoma,R+20,R+20,0
Oregon,D+5,D+6,1
Pennsylvania,EVEN,R+2,-2
Rhode Island,D+10,D+8,-2
South Carolina,R+8,R+8,0
South Dakota,R+14,R+16,-2
Tennessee,R+14,R+14,0
Texas,R+8,R+5,3
Utah,R+20,R+13,7
Vermont,D+15,D+16,1
Virginia,D+1,D+3,2
Washington,D+7,D+8,1
West Virginia,R+19,R+22,-3
Wisconsin,EVEN,R+2,-2
Wyoming,R+25,R+25,0
